item_no,description,unit,description_expanded,item_class,item_type
716-08.07,REMOVAL OF PAVEMENT MARKING (STRAIGHT-TURN ARROW),EACH,REMOVAL OF PAVEMENT MARKING (STRAIGHT-TURN ARROW),Pavement Marking,Pavement Marking Misc.
716-08.08,REMOVAL OF PAVEMENT MARKING (DOUBLE TURNING ARROW),EACH,REMOVAL OF PAVEMENT MARKING (DOUBLE TURNING ARROW),Pavement Marking,Pavement Marking Misc.
716-08.09,REMOVAL OF PAVEMENT MARKING (DOTTED LINE),L.F.,REMOVAL OF PAVEMENT MARKING (DOTTED LINE),Pavement Marking,Pavement Marking Misc.
716-08.10,REMOVAL OF PAVEMENT MARKING (TRANSVERSE SHOULDER),L.F.,REMOVAL OF PAVEMENT MARKING (TRANSVERSE SHOULDER),Pavement Marking,Pavement Marking Misc.
716-08.11,REMOVAL OF WORD PAVEMENT MARKING (DESCRIPTION),EACH,REMOVAL OF WORD PAVEMENT MARKING (DESCRIPTION),Pavement Marking,Pavement Marking Misc.
716-08.12,REMOVAL OF WORD PAVEMENT MARKING (DESCRIPTION),EACH,REMOVAL OF WORD PAVEMENT MARKING (DESCRIPTION),Pavement Marking,Pavement Marking Misc.
716-08.13,REMOVAL OF WORD PAVEMENT MARKING (DESCRIPTION),EACH,REMOVAL OF WORD PAVEMENT MARKING (DESCRIPTION),Pavement Marking,Pavement Marking Misc.
716-08.14,REMOVAL OF WORD PAVEMENT MARKING (DESCRIPTION),EACH,REMOVAL OF WORD PAVEMENT MARKING (DESCRIPTION),Pavement Marking,Pavement Marking Misc.
716-08.15,REMOVAL OF WORD PAVEMENT MARKING (DESCRIPTION),EACH,REMOVAL OF WORD PAVEMENT MARKING (DESCRIPTION),Pavement Marking,Pavement Marking Misc.
716-08.16,REMOVAL OF WORD PAVEMENT MARKING (DESCRIPTION),EACH,REMOVAL OF WORD PAVEMENT MARKING (DESCRIPTION),Pavement Marking,Pavement Marking Misc.
716-08.17,REMOVAL OF WORD PAVEMENT MARKING (DESCRIPTION),EACH,REMOVAL OF WORD PAVEMENT MARKING (DESCRIPTION),Pavement Marking,Pavement Marking Misc.
716-08.18,REMOVAL OF PAVEMENT MARKING (WRONG WAY ARROW),EACH,REMOVAL OF PAVEMENT MARKING (WRONG WAY ARROW),Pavement Marking,Pavement Marking Misc.
716-08.19,REMOVAL OF PAVEMENT MARKING (YIELD LINE),S.F.,REMOVAL OF PAVEMENT MARKING (YIELD LINE),Pavement Marking,Pavement Marking Misc.
716-08.20,REMOVAL OF PAVEMENT MARKING (LINE),L.M.,REMOVAL OF PAVEMENT MARKING (LINE),Pavement Marking,Pavement Marking Misc.
716-08.21,REMOVAL OF PAVEMENT MARKING (24IN BARRIER LINE),L.F.,REMOVAL OF PAVEMENT MARKING (24IN BARRIER LINE),Pavement Marking,Pavement Marking Misc.
716-08.22,REMOVAL OF PAVEMENT MARKING (NOISE STRIP),L.F.,REMOVAL OF PAVEMENT MARKING (NOISE STRIP),Pavement Marking,Pavement Marking Misc.
716-08.23,REMOVAL OF PAVEMENT MARKING (STRAIGHT ARROW),EACH,REMOVAL OF PAVEMENT MARKING (STRAIGHT ARROW),Pavement Marking,Pavement Marking Misc.
716-08.24,REMOVAL OF PAVEMENT MARKING (LANE REDUCTION ARROW),EACH,REMOVAL OF PAVEMENT MARKING (LANE REDUCTION ARROW),Pavement Marking,Pavement Marking Misc.
716-08.30,HYDROBLAST REMOVAL OF PAVEMENT MARKING (LINE),L.M.,HYDROBLAST REMOVAL OF PAVEMENT MARKING (LINE),Pavement Marking,Pavement Marking Misc.
716-08.31,HYDROBLAST REMOVAL OF PAVEMENT MARKING (DESCRIPTION),L.M.,HYDROBLAST REMOVAL OF PAVEMENT MARKING (DESCRIPTION),Pavement Marking,Pavement Marking Misc.
716-08.32,HYDROBLAST REMOVAL OF PAVEMENT MARKING (DESCRIPTION),L.F.,HYDROBLAST REMOVAL OF PAVEMENT MARKING (DESCRIPTION),Pavement Marking,Pavement Marking Misc.
716-08.33,HYDROBLAST REMOVAL OF PAVEMENT MARKING (DESCRIPTION),EACH,HYDROBLAST REMOVAL OF PAVEMENT MARKING (DESCRIPTION),Pavement Marking,Pavement Marking Misc.
716-08.34,HYDROBLAST REMOVAL OF PAVEMENT MARKING (DESCRIPTION),S.Y.,HYDROBLAST REMOVAL OF PAVEMENT MARKING (DESCRIPTION),Pavement Marking,Pavement Marking Misc.
716-09.02,WET REFLEC. PVMT MARKING(8BARRIER LINE),L.F.,WET REFLEC. PAVEMENT MARKING(8BARRIER LINE),Pavement Marking,Plastic-Preformed
716-09.03,WET REFLECTIVE PAVEMENT MARKING(6 LINE),L.M.,WET REFLECTIVE PAVEMENT MARKING(6 LINE),Pavement Marking,Plastic-Thermal
716-09.32,EXIT ONLY ARROW,EACH,EXIT ONLY ARROW,Pavement Marking,Plastic-Thermal
716-09.33,6 INCH DOTTED LINE,L.F.,6 INCH DOTTED LINE,Pavement Marking,Plastic-Thermal
716-09.57,CONTRAST PVMT SHADOW MARKING 6 (TAPE),L.F.,CONTRAST PAVEMENT SHADOW MARKING 6 (TAPE),Pavement Marking,Plastic-Thermal
716-09.72,WET REFLECTIVE PAVEMEMT MARKING (4LINE),L.M.,WET REFLECTIVE PAVEMENT MARKING (4LINE),Pavement Marking,Plastic-Thermal
716-09.79,THERMOPLST PVMT MARK PROFILE LINE(4),L.M.,THERMOPLASTIC PAVEMENT MARK PROFILE LINE(4),,Plastic-Thermal
716-09.80,THERMOPLST PVMT MARK PROFILE LINE(6),L.M.,THERMOPLASTIC PAVEMENT MARK PROFILE LINE(6),,Plastic-Thermal
716-09.83,CONTRAST PAVEMENT MARKING 6,L.F.,CONTRAST PAVEMENT MARKING 6,Pavement Marking,Plastic-Thermal
716-09.84,CONTRAST PAVEMENT MARKING 8,L.F.,CONTRAST PAVEMENT MARKING 8,Pavement Marking,Plastic-Thermal
716-09.85,CONTRAST PAVEMENT MARKING 4,L.M.,CONTRAST PAVEMENT MARKING 4,Pavement Marking,Plastic-Thermal
716-09.86,CONTRAST PAVEMENT MARKING 6,L.M.,CONTRAST PAVEMENT MARKING 6,Pavement Marking,Plastic-Thermal
716-09.87,CONTRAST PAVEMENT MARKINGS WORDS AND SYMBOLS,EACH,CONTRAST PAVEMENT MARKINGS WORDS AND SYMBOLS,Pavement Marking,Plastic-Thermal
716-09.88,CONTRAST PAVEMENT MARKING 8,L.M.,CONTRAST PAVEMENT MARKING 8,Pavement Marking,Plastic-Thermal
716-09.89,CONTRAST PAVEMENT MARKING 12,L.F.,CONTRAST PAVEMENT MARKING 12,Pavement Marking,Plastic-Thermal
716-09.90,CONTRAST PAVEMENT MARKING 6 DOTTED,L.F.,CONTRAST PAVEMENT MARKING 6 DOTTED,Pavement Marking,Plastic-Thermal
716-09.94,CONTRAST PAVEMENT SHADOW MARKING 6,L.M.,CONTRAST PAVEMENT SHADOW MARKING 6,Pavement Marking,Plastic-Thermal
716-09.95,CONTRAST PAVEMENT SHADOW MARKING 8,L.M.,CONTRAST PAVEMENT SHADOW MARKING 8,Pavement Marking,Plastic-Thermal
716-09.97,CONTRAST PAVEMENT SHADOW MARKING 6,L.F.,CONTRAST PAVEMENT SHADOW MARKING 6,Pavement Marking,Plastic-Thermal
716-09.98,CONTRAST PAVEMENT SHADOW MARKING 8,L.F.,CONTRAST PAVEMENT SHADOW MARKING 8,Pavement Marking,Plastic-Thermal
716-10.07,PREFORMED PLASTIC PAVEMENT MARKING (STOP LINE),L.F.,PREFORMED PLASTIC PAVEMENT MARKING (STOP LINE),Pavement Marking,Plastic-Preformed
716-10.15,PREFORMED PLASTIC PAVEMENT MARKING (NO TRUCKS THIS LANE),EACH,PREFORMED PLASTIC PAVEMENT MARKING (NO TRUCKS THIS LANE),,Plastic-Thermal
716-10.23,PREFRMD PLSTC PVMNT MRKING 4IN LINE W/1.5IN BLACK SILHOUETTE,L.M.,PREFORMED PLASTIC PVMNT MARKING 4IN LINE WITH 1.5IN BLACK SILHOUETTE,,Plastic-Thermal
716-10.26,WET NIGHT VISIBLE PAVEMENT MARKING (6 DOTTED LINE),L.F.,WET NIGHT VISIBLE PAVEMENT MARKING (6 DOTTED LINE),,Pavement Marking Misc.
716-10.30,TRUNCATED DOME DETECTABLE WARNING MAT,S.F.,TRUNCATED DOME DETECTABLE WARNING MAT,,Pavement Marking Misc.
716-10.40,REMV & REPLC LENS ON SNOWPLW RFLCTV MKR,EACH,REMV & REPLC LENS ON SNOWPLW RFLCTV MKR,,Pavement Marking Misc.
716-10.50,PREFORMED PLASTIC PAVEMENT MARKING (INTERSTATE SHIELD),EACH,PREFORMED PLASTIC PAVEMENT MARKING (INTERSTATE SHIELD),Pavement Marking,Plastic-Preformed
716-10.51,PRFRMED PLSTC PVMNT MRKNG (STATE SHLD),EACH,PRFRMED PLASTIC PVMNT MARKING (STATE SHLD),Pavement Marking,Plastic-Preformed
716-10.52,PRFRMED PLSTC PVMNT MRKNG (US SHLD),EACH,PRFRMED PLASTIC PVMNT MARKING (US SHLD),Pavement Marking,Plastic-Preformed
