Item Number,Item Description,U/M Type,U/M,Item Class,Item Type
716-12.01,Enhanced Flatline Thermo  Pvmt Mrkng (4In Line),L.M.,Linear Mile,Pavement Marking,Plastic-Thermal
716-12.02,Enhanced Flatline Thermo  Pvmt Mrkng (6In Line),L.M.,Linear Mile,Pavement Marking,Plastic-Thermal
716-12.03,Enhanced Flatline Thermo  Pvmt Mrkng (8In Barrier Line),L.F.,Linear Feet,Pavement Marking,Plastic-Thermal
716-12.04,Enhanced Flatline Thermo  Pvmt Mrkng (4In Dotted Line),L.F.,Linear Feet,Pavement Marking,Plastic-Thermal
716-12.05,Enhanced Flatline Thermo  Pvmt Mrkng (6In Dotted Line),L.F.,Linear Feet,Pavement Marking,Plastic-Thermal
716-12.08,Enhanced Flat Line Thermo (12In Barrier Line),L.F.,Linear Feet,Pavement Marking,Plastic-Thermal
716-12.07,Enhanced Flat Line Thermo (8In Broken Ln),L.F.,Linear Feet,Pavement Marking,Plastic-Thermal
716-12.06,Enhanced Flat Line Thermo (8In Line),L.F.,Linear Feet,Pavement Marking,Plastic-Thermal
716-12.09,Enhanced Flat Line Thermo (12In Line),L.F.,Linear Feet,Pavement Marking,Plastic-Thermal
716-12.10,Enhanced Flat Line Thermo (12In Dotted),L.F.,Linear Feet,Pavement Marking,Plastic-Thermal
716-13.01,Spray Thermo Pvmt Mrkng (60 Mil) (4In Line),L.M.,Linear Mile,Pavement Marking,Plastic-Thermal
716-13.02,Spray Thermo Pvmt Mrkng (60 Mil) (6In Line),L.M.,Linear Mile,Pavement Marking,Plastic-Thermal
716-13.03,Spray Thermo Pvmt Mrkng (60 Mil) (8In Barrier Line),L.F.,Linear Feet,Pavement Marking,Plastic-Thermal
716-13.04,Spray Thermo Pvmt Mrkng (60 Mil) (4In Dotted Line),L.F.,Linear Feet,Pavement Marking,Plastic-Thermal
716-13.05,Spray Thermo Pvmt Mrkng (60 Mil) (6In Dotted Line),L.F.,Linear Feet,Pavement Marking,Plastic-Thermal
716-13.06,Spray Thermo Pvmt Mrkng (40 Mil) (4In Line),L.M.,Linear Mile,Pavement Marking,Plastic-Thermal
716-13.07,Spray Thermo Pvmt Mrkng (40 Mil) (6In Line),L.M.,Linear Mile,Pavement Marking,Plastic-Thermal
716-13.08,Spray Thermo Pvmt Mrkng (40 Mil) (8In Barrier Line),L.F.,Linear Feet,Pavement Marking,Plastic-Thermal
716-13.09,Spray Thermo Pvmt Mrkng (40 Mil) (4In Dotted Line),L.F.,Linear Feet,Pavement Marking,Plastic-Thermal
716-13.10,Spray Thermo Pvmt Mrkng (40 Mil) (6In Dotted Line),L.F.,Linear Feet,Pavement Marking,Plastic-Thermal
